final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,tags,rating,unit_price,sizes,colors,seller,initial_price,categories,date,discount_numeric,discount_percent,one_star,two_stars,three_stars,four_stars,five_stars
25.99,True,False,Exclusivo Mezcla,64,1093743201,"Exclusivo Mezcla Waffle Textured Soft Fleece Blanket, King Size Bed Blanket, Cozy Warm and Lightweight (Dark Grey, 90x104 inches)",Bed Blankets,Home,,4.5,,"[""90\"" x 104\"""",""90\"" x 66\"""",""90\"" x 90\""""]","[""Black"",""Celadon"",""Coffee"",""Dark Grey"",""Deep Red"",""Forest Green"",""Hot Pink"",""Navy Blue"",""Slate Blue""]",Exc███ivo███zcl███,55.98,"[""Home"",""Bedding"",""Blankets"",""Bed Blankets""]",2024-08-25,29.99,53.57,5,1,2,4,52
30.0,True,False,Anastasia Confections,575,411359040,Anastasia Beverly Hills Norvina PRO Pigment Eyeshadow Palette Vol 3,All Makeup,Beauty,"[""Reviewers highlighted: blending, shade, staying on""]",4.8,,[],[],Mom███h5k███-be█████████,34.0,"[""Beauty"",""Makeup"",""All Makeup""]",2024-08-25,4.0,11.76,1,4,23,81,466
57.6,True,False,Amay's,4,1612728569,"Amay 800TC Organic Cotton Twin XL Size Fitted Sheet ( 39X80 ) Fits Mattress Upto 21 inches Deep Pocket, Ivory Solid",Cooling Sheets,Home,"[""Reduced price""]",5.0,,"[""King Pillowcases(20x40)"",""Split King (39x80)"",""Twin (39x75)"",""Twin XL (39x80)"",""Full (54x75)"",""Queen ( 60x80)"",""RV Short Queen ( 60x75)"",""Olympic Queen ( 66x80)"",""California king (72x84)"",""RV King (72x75)"",""King (76x80)"",""Grand King (80x98)"",""Emperor (84x84)"",""Alaska King (108x108)""]","[""Aqua Blue"",""Beige"",""Black"",""Burgundy"",""Chocolate"",""Dark Grey"",""Gold"",""Hot Pink"",""Ivory"",""Lavender"",""Light Blue"",""Navy Blue"",""Orange"",""Parrot Green"",""Peach"",""Pink"",""Purple"",""Red"",""Royal Blue"",""Sage"",""Silver Gray"",""Silver Grey"",""Taupe"",""Teal"",""Turquoise"",""White"",""Wine"",""Yellow""]",AMA███EXT███S,64.0,"[""Home"",""Bedding"",""Bed Sheets & Pillowcases"",""Cooling Sheets""]",2024-08-25,6.4,10.0,0,0,0,0,4
19.98,True,False,Larace,31,2150292673,LARACE Women's Plus Size Tops 3/4 Sleeve Tunic Shirts Casual Button V-neck Blouse Black 4X,Plus Size Tops,Clothing,"[""Reduced price""]",4.8,,"[""1X"",""2X"",""3X"",""4X""]","[""2-Black"",""5-WineRed"",""A-Navy12"",""A-WineRed18"",""Black"",""Flower42"",""Flower46""]",LAR███,23.99,"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]",2024-08-24,4.01,16.72,0,0,2,2,27
0.99,True,False,ITSUN,3,1507001378,"FY24 Valentine's Day Holiday Deals! itsun Lingerie Sets for Women Sexy Plus Size, Women Sexy Lace Lingerie Set Strappy Bra and Panty Set Two Piece Crotchless Lingerie White",Lingerie Sets,Clothing,"[""Clearance""]",1.3,,"[""S"",""M"",""L"",""XL"",""XXL"",""XXXL""]","[""Black"",""Blue"",""Red"",""White""]",TAO███UI,1.58,"[""Clothing"",""Womens Clothing"",""Womens Bras, Panties & Lingerie"",""Womens Lingerie"",""Lingerie Sets""]",2024-08-24,0.59,37.34,2,1,0,0,0
44.0,True,False,Rest Haven,74,293084792,"Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal",Upholstered Headboards,Home,"[""Best seller"",""Rollback""]",4.5,,"[""Twin"",""Full"",""Queen"",""King""]","[""Black"",""Charcoal"",""Cream"",""Gray"",""Navy""]",Wal███t.c███,135.0,"[""Home"",""Furniture"",""Bedroom Furniture"",""Headboards"",""Upholstered Headboards""]",2024-08-24,91.0,67.41,4,3,3,9,55
19.98,True,False,Larace,231,5041920521,LARACE Women's Tops Long Sleeve Dressy Casual Plus Size Tunic Tops to Wear with Leggings Loose T-Shirt Loose Fit Blouses NavyBlue 1X,Plus Size Tops,Clothing,,4.7,,"[""1X"",""2X"",""3X"",""4X""]","[""A-Leopard08"",""Black"",""DeepPurple"",""Flower40_Christmas"",""Flower42_Halloween"",""Flower46"",""Flower47_Christmas"",""Flower93"",""Flower99"",""Navy Blue-1"",""NavyBlue"",""White"",""Wine Red""]",LAR███,26.99,"[""Clothing"",""Womens Plus"",""Plus Size Tops"",""Plus Size Tops""]",2024-08-24,7.01,25.97,7,2,9,23,190
239.99,True,False,AUSTUFF,14,2834781358,"AUSTUFF Swivel Bar Stools Set of 2 Velvet Barstools for Kitchen Island (30"", Blue)",Shop All Bar Stools & Counter Stools,Home,"[""Reduced price""]",4.4,,"[""bar height set of 2"",""counter height set of 2"",""bar height set of 4"",""counter height set of 4""]","[""Beige"",""Black"",""Blue"",""Gray""]",AUS███F,562.99,"[""Home"",""Furniture"",""Kitchen & Dining Furniture"",""Bar Stools & Counter Stools"",""Shop All Bar Stools & Counter Stools""]",2024-08-24,323.0,57.37,2,0,0,0,12
54.99,True,False,Fresh Roasted Coffee,43,306465658,"Fresh Roasted Coffee, Indian Monsoon Water Decaf Coffee, Medium-Dark Roast Whole Bean, 80 oz",Medium Roast Coffee,Food,,4.8,,"[""2 LB BAG"",""3 x 12 OZ BAGS"",""5 LB BAG""]",[],Fre███Roa███d C█████████.,54.99,"[""Food"",""Coffee"",""Medium Roast Coffee""]",2024-08-24,0.0,0.0,0,0,2,3,38
15.95,True,False,FaithHeart,150,5809585615,FaithHeart Nordic Viking Vegvisir Pirate Compass Ring for Men Solid Rune Band Rings Black Stainless Steel Jewelry Punk Valknut Protection Amulet Gift for Rappers Size 7,Mens Rings,Jewelry,"[""Reduced price""]",4.9,,"[""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14""]","[""Black"",""Gold"",""Silver""]",Fai███ear███ewe██████,48.99,"[""Jewelry"",""Mens Jewelry & Watches"",""Mens Jewelry"",""Mens Rings"",""Mens Rings""]",2024-08-24,33.04,67.44,0,1,3,13,133
